Date,Ticker,Open,High,Low,Close,Volume,Dividends,Stock Splits,Sector,Percent Change,SMA_20,SMA_50,Buy RSI,Sell RSI,Price Change,Gain,Loss,Avg Gain,Avg Loss,RS,RSI,Middle Band,Standard Deviation,Upper Band,Lower Band,EMA_20,EMA_50,MACD,MACD Line,MFM,MFV,CMF,Low_min,High_max,%K,%D,Signal,SMA_Signal,RSI_Signal,BB_Signal,CMF_Signal,STO_Signal,Total Percent Change
2024-01-31 00:00:00-05:00,JNJ,155.47772675632095,155.69097670008725,153.80082018991854,154.0237579345703,8256800,0.0,0.0,healthcare,,,,25,90,,0.0,-0.0,,,,,,,,,154.0237579345703,154.0237579345703,0.0,0.0,-0.7641065769396266,-6309075.184475109,,,,,,0,0,0,0,0,0,
2024-02-01 00:00:00-05:00,JNJ,153.30647614186594,153.62635105757118,152.2305386219613,153.50033569335938,8012000,0.0,0.0,healthcare,-0.3398321455273745,,,25,90,-0.5234222412109375,0.0,0.5234222412109375,,,,,,,,,153.97390819731214,154.00323157216988,-0.05223340452835146,-0.010446680905670292,0.8194379688890665,6565337.006739201,,,,,,0,0,0,0,0,0,
2024-02-02 00:00:00-05:00,JNJ,153.12229696504164,153.45185966565072,151.15459377126948,151.8040313720703,8295500,0.0,0.0,healthcare,-1.105081831663024,,,25,90,-1.6963043212890625,0.0,1.6963043212890625,,,,,,,,,153.7672532615748,153.91698842706793,-0.26288524350371745,-0.060934393425279725,-0.4345995364408953,-3605220.4545454467,-0.13633438088125266,,,,,0,0,0,0,1,0,
2024-02-05 00:00:00-05:00,JNJ,151.80403113897216,152.07543745559056,150.57300012325206,151.01889038085938,9121600,0.0,0.0,healthcare,-0.5172069437909488,,,25,90,-0.7851409912109375,0.0,0.7851409912109375,,,,,,,,,153.5055044157924,153.80333752329506,-0.507659016080936,-0.150279317956411,-0.40644411848672407,-3707420.671188502,-0.02938775336109999,,,,,0,0,0,0,1,0,
2024-02-06 00:00:00-05:00,JNJ,151.04797092519505,153.85897130132494,150.8250331881866,153.20953369140625,9229900,0.0,0.0,healthcare,1.4505756895857314,,,25,90,2.190643310546875,2.190643310546875,-0.0,,,,,,,,,153.4773167277556,153.7800510985151,-0.48074921872469645,-0.2163732981100681,0.5718847348228154,5278438.913941104,-0.0763388828683471,,,,,0,0,0,0,1,0,
2024-02-07 00:00:00-05:00,JNJ,152.95751937038492,154.47933234323096,152.85089440103633,153.13198852539062,8690300,0.0,0.0,healthcare,-0.05061379938131605,,,25,90,-0.077545166015625,0.0,0.077545166015625,,,,,,,,,153.44442832753035,153.7546368799612,-0.462950672179403,-0.2656887729239351,-0.654768392370583,-5690133.760218077,-0.15232401384025754,,,,,0,0,0,0,1,0,
2024-02-08 00:00:00-05:00,JNJ,152.51161995232005,152.51161995232005,150.54391682827188,151.6004638671875,9755000,0.0,0.0,healthcare,-1.000133723169916,,,25,90,-1.531524658203125,0.0,1.531524658203125,,,,,,,,,153.26881266464056,153.67015950691123,-0.5976885941857972,-0.33208873717630755,0.07388866338940615,720783.911363657,0.01116844919229791,,,,,0,0,0,0,1,0,
2024-02-09 00:00:00-05:00,JNJ,151.47447868211412,152.37593226815574,150.8928852268682,151.94943237304688,6529200,0.0,0.0,healthcare,0.23018960295866364,,,25,90,0.348968505859375,0.348968505859375,-0.0,,,,,,,,,153.1431573987745,153.60268001146557,-0.6657402725942632,-0.39881904425989867,0.4248329510322373,2773819.303879684,-0.08791089090771534,,,,,0,0,0,0,1,0,
2024-02-12 00:00:00-05:00,JNJ,151.77496558587077,153.54880938253953,151.55202783377004,153.00599670410156,6701500,0.0,0.0,healthcare,0.6953394392818391,,,25,90,1.0565643310546875,1.0565643310546875,-0.0,,,,,,,,,153.1300944754723,153.57928066607874,-0.6092368364326148,-0.4409026026944419,0.4563124055583598,3057977.585849348,0.2850720578921977,,,,,0,0,0,0,-1,0,
2024-02-13 00:00:00-05:00,JNJ,152.80242886268792,153.58756965693547,150.97042874593177,151.6683349609375,8621000,0.0,0.0,healthcare,-0.8742544553668519,,,25,90,-1.3376617431640625,0.0,1.3376617431640625,0.35961761474609377,0.595159912109375,0.6042369578816749,37.665069048125126,,,,,152.99087928361186,153.5043416188183,-0.6924322489147983,-0.4912085319385132,-0.4666651596240757,-4023120.341119156,0.08277051893490554,,,,,0,0,0,0,1,0,
2024-02-14 00:00:00-05:00,JNJ,151.5520050536325,151.65863001305124,150.08833381156347,150.96072387695312,9098800,0.0,0.0,healthcare,-0.4665516267232883,,,25,90,-0.707611083984375,0.0,0.707611083984375,0.35961761474609377,0.6659210205078125,0.5400304295423195,35.06621812030109,,,,,152.79753114964436,153.40459190345103,-0.8238788951543654,-0.5577426045816837,0.11111529730902155,1011015.8671553252,0.0018784058131842511,,,,,0,0,0,0,1,0,
